Country name,City name,Airport Code,Airport Name,Country Abbrev.,World Area Code
United States,Sandusky,SKY,Griffing Sandusky,US,67
United States,Sandy River,KSR,Federal No 1,US,67
United States,Sanford,SFM,Sanford,US,67
United States,Santa Ana,JOC,Centerport Heliport,US,67
United States,Santa Ana,DNT,Downtown Heliport,US,67
United States,Santa Ana,SNA,John Wayne,US,67
United States,Santa Barbara,SBA,Municipal,US,67
United States,Santa Barbara,SZN,Santa Cruz Island,US,67
United States,Santa Cruz,SRU,Skypark,US,67
United States,Santa Fe,SAF,Santa Fe,US,67
United States,Santa Fe,ZSH,Bus Station,US,67
United States,Santa Maria,SMX,Public,US,67
United States,Santa Monica,SMO,Santa Monica,US,67
United States,Santa Paula,SZP,Santa Paula,US,67
United States,Santa Rosa,STS,Sonoma County,US,67
United States,Santa Ynez,SQA,Santa Ynez,US,67
United States,Saranac Lake,SLK,Adirondack,US,67
United States,Sarasota,SRQ,Sarasota-Bradenton International,US,67
United States,Saratoga,SAA,Shively Field,US,67
United States,Sarichef,WSF,Sarichef,US,67
United States,Sault Ste Marie,CIU,Chippewa County,US,67
United States,Sault Ste Marie,INR,Kincheloe AFB,US,67
United States,Sausalito,JMC,Marin County,US,67
United States,Savannah,SVN,Hunter AAF,US,67
United States,Savannah,SAV,Savannah/Hilton Head,US,67
United States,Savoonga,SVA,Savoonga,US,67
United States,Scammon Bay,SCM,SPB,US,67
United States,Schaumburg,JMH,Marriott Heliport,US,67
United States,Schenectady,SCH,County,US,67
United States,Schenectady,ZTD,Schenectady Rail,US,67
United States,Scottsbluff,BFF,Scotts Bluff County,US,67
United States,Scranton,SCR,Municipal,US,67
United States,Scribner,SCB,State,US,67
United States,Seal Bay,SYB,Seal Bay,US,67
United States,Searcy,SRC,Searcy,US,67
United States,Seattle,BFI,Boeing Fld Intl,US,67
United States,Seattle,LKE,Lake Union SPB,US,67
United States,Seattle,SEA,Seattle/tacoma International,US,67
United States,Sebring,SEF,Air Terminal,US,67
United States,Sedalia,DMO,Sedalia,US,67
United States,Sedona,SDX,Sedona,US,67
United States,Selawik,WLK,Selawik,US,67
United States,Seldovia,SOV,Seldovia,US,67
United States,Selinsgrove,SEG,Penn Valley,US,67
United States,Selma,SEM,Craig AFB,US,67
